"Step","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h__MIN","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h__MAX"
"543","0.9996240735054016","0.9996240735054016","0.9996240735054016"
"558","0.999608039855957","0.999608039855957","0.999608039855957"
"573","0.9996172785758972","0.9996172785758972","0.9996172785758972"
"588","0.9996178150177002","0.9996178150177002","0.9996178150177002"
"603","0.9996067881584167","0.9996067881584167","0.9996067881584167"
"618","0.9996047616004944","0.9996047616004944","0.9996047616004944"
"633","0.9995975494384766","0.9995975494384766","0.9995975494384766"
"648","0.9995889067649841","0.9995889067649841","0.9995889067649841"
"663","0.9995818138122559","0.9995818138122559","0.9995818138122559"
"678","0.9995766282081604","0.9995766282081604","0.9995766282081604"
"693","0.9995676875114441","0.9995676875114441","0.9995676875114441"
"708","0.9995724558830261","0.9995724558830261","0.9995724558830261"
"723","0.9995290637016296","0.9995290637016296","0.9995290637016296"
"738","0.9995606541633606","0.9995606541633606","0.9995606541633606"
"753","0.9995560050010681","0.9995560050010681","0.9995560050010681"
"768","0.9995508193969727","0.9995508193969727","0.9995508193969727"
"783","0.9995484948158264","0.9995484948158264","0.9995484948158264"
"798","0.9995675683021545","0.9995675683021545","0.9995675683021545"
"813","0.9995338320732117","0.9995338320732117","0.9995338320732117"
"828","0.9995347857475281","0.9995347857475281","0.9995347857475281"
"843","0.9995402693748474","0.9995402693748474","0.9995402693748474"
"858","0.9995424747467041","0.9995424747467041","0.9995424747467041"
"873","0.9995272159576416","0.9995272159576416","0.9995272159576416"
"888","0.9995095729827881","0.9995095729827881","0.9995095729827881"
"903","0.9994900822639465","0.9994900822639465","0.9994900822639465"
"918","0.9995017051696777","0.9995017051696777","0.9995017051696777"
"933","0.999493420124054","0.999493420124054","0.999493420124054"
"948","0.9994864463806152","0.9994864463806152","0.9994864463806152"
"963","0.999468982219696","0.999468982219696","0.999468982219696"
"978","0.9994776844978333","0.9994776844978333","0.9994776844978333"
"993","0.9994414448738098","0.9994414448738098","0.9994414448738098"
"1008","0.9994656443595886","0.9994656443595886","0.9994656443595886"
"1023","0.9994471073150635","0.9994471073150635","0.9994471073150635"
"1038","0.9994053840637207","0.9994053840637207","0.9994053840637207"
"1053","0.99937504529953","0.99937504529953","0.99937504529953"
"1068","0.9993929862976074","0.9993929862976074","0.9993929862976074"
"1083","0.9993896484375","0.9993896484375","0.9993896484375"
"1098","0.999387800693512","0.999387800693512","0.999387800693512"
"1113","0.9993429183959961","0.9993429183959961","0.9993429183959961"
"1128","0.9993438124656677","0.9993438124656677","0.9993438124656677"
"1143","0.9993388056755066","0.9993388056755066","0.9993388056755066"
"1158","0.9993028044700623","0.9993028044700623","0.9993028044700623"
"1173","0.9992942214012146","0.9992942214012146","0.9992942214012146"
"1188","0.99928218126297","0.99928218126297","0.99928218126297"
"1203","0.9992976784706116","0.9992976784706116","0.9992976784706116"
"1218","0.9992250800132751","0.9992250800132751","0.9992250800132751"
"1233","0.9992451071739197","0.9992451071739197","0.9992451071739197"
"1248","0.9992156624794006","0.9992156624794006","0.9992156624794006"
"1263","0.9991970062255859","0.9991970062255859","0.9991970062255859"
"1278","0.9991810917854309","0.9991810917854309","0.9991810917854309"
"1293","0.9991462826728821","0.9991462826728821","0.9991462826728821"
"1308","0.999172031879425","0.999172031879425","0.999172031879425"
"1323","0.999098539352417","0.999098539352417","0.999098539352417"
"1338","0.9991474151611328","0.9991474151611328","0.9991474151611328"
"1353","0.9991233348846436","0.9991233348846436","0.9991233348846436"
"1368","0.9990819096565247","0.9990819096565247","0.9990819096565247"
"1383","0.9990339875221252","0.9990339875221252","0.9990339875221252"
"1398","0.9990352988243103","0.9990352988243103","0.9990352988243103"
"1413","0.9990334510803223","0.9990334510803223","0.9990334510803223"
"1428","0.9989719390869141","0.9989719390869141","0.9989719390869141"
"1443","0.9990122318267822","0.9990122318267822","0.9990122318267822"
"1458","0.9989592432975769","0.9989592432975769","0.9989592432975769"
"1473","0.998939037322998","0.998939037322998","0.998939037322998"
"1488","0.9989209175109863","0.9989209175109863","0.9989209175109863"
"1503","0.9989097118377686","0.9989097118377686","0.9989097118377686"
"1518","0.998894214630127","0.998894214630127","0.998894214630127"
"1533","0.9987919926643372","0.9987919926643372","0.9987919926643372"
"1548","0.9988265633583069","0.9988265633583069","0.9988265633583069"
"1563","0.9987230896949768","0.9987230896949768","0.9987230896949768"
"1578","0.9987058639526367","0.9987058639526367","0.9987058639526367"
"1593","0.9987689852714539","0.9987689852714539","0.9987689852714539"
"1608","0.9986565113067627","0.9986565113067627","0.9986565113067627"
"1623","0.9986581206321716","0.9986581206321716","0.9986581206321716"
"1638","0.9985516667366028","0.9985516667366028","0.9985516667366028"
"1653","0.9986845850944519","0.9986845850944519","0.9986845850944519"
"1668","0.9985651969909668","0.9985651969909668","0.9985651969909668"
"1683","0.9986680150032043","0.9986680150032043","0.9986680150032043"
"1698","0.9985501170158386","0.9985501170158386","0.9985501170158386"
"1713","0.9985118508338928","0.9985118508338928","0.9985118508338928"
"1728","0.99848872423172","0.99848872423172","0.99848872423172"
"1743","0.9984018206596375","0.9984018206596375","0.9984018206596375"
"1758","0.9983633160591125","0.9983633160591125","0.9983633160591125"
"1773","0.9983463287353516","0.9983463287353516","0.9983463287353516"
"1790","0.9983596205711365","0.9983596205711365","0.9983596205711365"
"1807","0.9982767105102539","0.9982767105102539","0.9982767105102539"
"1824","0.9980961680412292","0.9980961680412292","0.9980961680412292"
"1841","0.9981889724731445","0.9981889724731445","0.9981889724731445"
"1858","0.99818354845047","0.99818354845047","0.99818354845047"
"1875","0.9980823397636414","0.9980823397636414","0.9980823397636414"
"1892","0.9981319904327393","0.9981319904327393","0.9981319904327393"
"1909","0.9980321526527405","0.9980321526527405","0.9980321526527405"
"1926","0.9980031847953796","0.9980031847953796","0.9980031847953796"
"1943","0.9979847073554993","0.9979847073554993","0.9979847073554993"
