"Step","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h__MIN","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_h__MAX"
"3","1.0044549703598022","1.0044549703598022","1.0044549703598022"
"18","1.0124603509902954","1.0124603509902954","1.0124603509902954"
"33","1.0027753114700317","1.0027753114700317","1.0027753114700317"
"48","1.0067213773727417","1.0067213773727417","1.0067213773727417"
"63","0.999708354473114","0.999708354473114","0.999708354473114"
"78","0.9992638230323792","0.9992638230323792","0.9992638230323792"
"93","0.9992356300354004","0.9992356300354004","0.9992356300354004"
"108","0.9991644024848938","0.9991644024848938","0.9991644024848938"
"123","0.9995496273040771","0.9995496273040771","0.9995496273040771"
"138","0.9994990229606628","0.9994990229606628","0.9994990229606628"
"153","0.999108076095581","0.999108076095581","0.999108076095581"
"168","0.9992936253547668","0.9992936253547668","0.9992936253547668"
"183","0.9993283748626709","0.9993283748626709","0.9993283748626709"
"198","0.9991067051887512","0.9991067051887512","0.9991067051887512"
"213","0.9992164969444275","0.9992164969444275","0.9992164969444275"
"228","0.999293863773346","0.999293863773346","0.999293863773346"
"243","0.99931401014328","0.99931401014328","0.99931401014328"
"258","0.9994022846221924","0.9994022846221924","0.9994022846221924"
"273","0.9994823932647705","0.9994823932647705","0.9994823932647705"
"288","0.9994972348213196","0.9994972348213196","0.9994972348213196"
"303","0.9995208382606506","0.9995208382606506","0.9995208382606506"
"318","0.9995487332344055","0.9995487332344055","0.9995487332344055"
"333","0.9995710253715515","0.9995710253715515","0.9995710253715515"
"348","0.9995541572570801","0.9995541572570801","0.9995541572570801"
"363","0.9995576739311218","0.9995576739311218","0.9995576739311218"
"378","0.999612033367157","0.999612033367157","0.999612033367157"
"393","0.9996098875999451","0.9996098875999451","0.9996098875999451"
"408","0.9996144771575928","0.9996144771575928","0.9996144771575928"
"423","0.9995785355567932","0.9995785355567932","0.9995785355567932"
"438","0.9996163845062256","0.9996163845062256","0.9996163845062256"
"453","0.9996219277381897","0.9996219277381897","0.9996219277381897"
"468","0.9996232390403748","0.9996232390403748","0.9996232390403748"
"483","0.999629020690918","0.999629020690918","0.999629020690918"
"498","0.9996213912963867","0.9996213912963867","0.9996213912963867"
"513","0.9996427893638611","0.9996427893638611","0.9996427893638611"
"528","0.9996235966682434","0.9996235966682434","0.9996235966682434"
