"Step","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave__MIN","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave__MAX"
"1565","1.932059407234192","1.932059407234192","1.932059407234192"
"1580","1.9533120393753052","1.9533120393753052","1.9533120393753052"
"1595","1.9307799339294434","1.9307799339294434","1.9307799339294434"
"1610","1.9472602605819702","1.9472602605819702","1.9472602605819702"
"1625","1.9068485498428345","1.9068485498428345","1.9068485498428345"
"1640","1.958863615989685","1.958863615989685","1.958863615989685"
"1655","1.9210599660873413","1.9210599660873413","1.9210599660873413"
"1670","1.9329391717910767","1.9329391717910767","1.9329391717910767"
"1685","1.9178622961044312","1.9178622961044312","1.9178622961044312"
"1700","1.9108320474624634","1.9108320474624634","1.9108320474624634"
"1715","1.9079960584640503","1.9079960584640503","1.9079960584640503"
"1730","1.9111076593399048","1.9111076593399048","1.9111076593399048"
"1745","1.906154751777649","1.906154751777649","1.906154751777649"
"1760","1.9033445119857788","1.9033445119857788","1.9033445119857788"
"1775","1.8835011720657349","1.8835011720657349","1.8835011720657349"
"1792","1.897746205329895","1.897746205329895","1.897746205329895"
"1809","1.8583149909973145","1.8583149909973145","1.8583149909973145"
"1826","1.8935651779174805","1.8935651779174805","1.8935651779174805"
"1843","1.9019335508346558","1.9019335508346558","1.9019335508346558"
"1860","1.8773552179336548","1.8773552179336548","1.8773552179336548"
"1877","1.8597179651260376","1.8597179651260376","1.8597179651260376"
"1894","1.8532792329788208","1.8532792329788208","1.8532792329788208"
"1911","1.8688188791275024","1.8688188791275024","1.8688188791275024"
"1928","1.8621212244033813","1.8621212244033813","1.8621212244033813"
