"Step","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave__MIN","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave__MAX"
"6","0.044088732451200485","0.044088732451200485","0.044088732451200485"
"21","0.06446709483861923","0.06446709483861923","0.06446709483861923"
"36","0.039850082248449326","0.039850082248449326","0.039850082248449326"
"51","0.0497296005487442","0.0497296005487442","0.0497296005487442"
"66","0.006641604006290436","0.006641604006290436","0.006641604006290436"
"81","0.008685705251991749","0.008685705251991749","0.008685705251991749"
"96","0.010733668692409992","0.010733668692409992","0.010733668692409992"
"111","0.005459308624267578","0.005459308624267578","0.005459308624267578"
"126","0.006146401632577181","0.006146401632577181","0.006146401632577181"
"141","0.004564828239381313","0.004564828239381313","0.004564828239381313"
"156","0.003251122310757637","0.003251122310757637","0.003251122310757637"
"171","0.0022436862345784903","0.0022436862345784903","0.0022436862345784903"
"186","0.0029971988406032324","0.0029971988406032324","0.0029971988406032324"
"201","0.003349641105160117","0.003349641105160117","0.003349641105160117"
"216","0.0018541147001087666","0.0018541147001087666","0.0018541147001087666"
"231","0.0015319008380174637","0.0015319008380174637","0.0015319008380174637"
"246","0.0015400642296299338","0.0015400642296299338","0.0015400642296299338"
"261","0.001367130666039884","0.001367130666039884","0.001367130666039884"
"276","0.0010476732859387994","0.0010476732859387994","0.0010476732859387994"
"291","0.0010258440161123872","0.0010258440161123872","0.0010258440161123872"
"306","0.0009680441580712795","0.0009680441580712795","0.0009680441580712795"
"321","0.0009015330579131842","0.0009015330579131842","0.0009015330579131842"
"336","0.0008826688281260431","0.0008826688281260431","0.0008826688281260431"
"351","0.0008988071349449456","0.0008988071349449456","0.0008988071349449456"
"366","0.0009232555166818202","0.0009232555166818202","0.0009232555166818202"
"381","0.0007697350811213255","0.0007697350811213255","0.0007697350811213255"
"396","0.000777313020080328","0.000777313020080328","0.000777313020080328"
"411","0.0007409278769046068","0.0007409278769046068","0.0007409278769046068"
"426","0.0008604180184192955","0.0008604180184192955","0.0008604180184192955"
"441","0.0007471106364391744","0.0007471106364391744","0.0007471106364391744"
"456","0.0007279571727849543","0.0007279571727849543","0.0007279571727849543"
"471","0.0007111257873475552","0.0007111257873475552","0.0007111257873475552"
"486","0.0007304100436158478","0.0007304100436158478","0.0007304100436158478"
"501","0.0007546416018158197","0.0007546416018158197","0.0007546416018158197"
"516","0.000725521007552743","0.000725521007552743","0.000725521007552743"
"531","0.000759284885134548","0.000759284885134548","0.000759284885134548"
"546","0.0007352247484959662","0.0007352247484959662","0.0007352247484959662"
"561","0.0008315489976666868","0.0008315489976666868","0.0008315489976666868"
"576","0.0007679876289330423","0.0007679876289330423","0.0007679876289330423"
"591","0.0007843647035770118","0.0007843647035770118","0.0007843647035770118"
"606","0.0007310226210393012","0.0007310226210393012","0.0007310226210393012"
"621","0.000790732039604336","0.000790732039604336","0.000790732039604336"
"636","0.000799326051492244","0.000799326051492244","0.000799326051492244"
"651","0.0008112238137982786","0.0008112238137982786","0.0008112238137982786"
"666","0.0008946756715886295","0.0008946756715886295","0.0008946756715886295"
"681","0.0008324244990944862","0.0008324244990944862","0.0008324244990944862"
"696","0.0008427354623563588","0.0008427354623563588","0.0008427354623563588"
"711","0.0008906486909836531","0.0008906486909836531","0.0008906486909836531"
"726","0.0009402135037817061","0.0009402135037817061","0.0009402135037817061"
"741","0.0008872249163687229","0.0008872249163687229","0.0008872249163687229"
"756","0.000865237379912287","0.000865237379912287","0.000865237379912287"
"771","0.0009016214753501117","0.0009016214753501117","0.0009016214753501117"
"786","0.0008508125320076942","0.0008508125320076942","0.0008508125320076942"
"801","0.0008337678737007082","0.0008337678737007082","0.0008337678737007082"
"816","0.0009736907668411732","0.0009736907668411732","0.0009736907668411732"
"831","0.0008805624092929065","0.0008805624092929065","0.0008805624092929065"
"846","0.0009308262378908694","0.0009308262378908694","0.0009308262378908694"
"861","0.0008684687782078981","0.0008684687782078981","0.0008684687782078981"
"876","0.0009128727833740413","0.0009128727833740413","0.0009128727833740413"
"891","0.0009941942989826202","0.0009941942989826202","0.0009941942989826202"
"906","0.0010468605905771255","0.0010468605905771255","0.0010468605905771255"
"921","0.0009446006151847541","0.0009446006151847541","0.0009446006151847541"
"936","0.0009695030748844147","0.0009695030748844147","0.0009695030748844147"
"951","0.0009788130410015583","0.0009788130410015583","0.0009788130410015583"
"966","0.0010790246305987239","0.0010790246305987239","0.0010790246305987239"
"981","0.0009994847932830453","0.0009994847932830453","0.0009994847932830453"
"996","0.001217734650708735","0.001217734650708735","0.001217734650708735"
"1011","0.0010333341779187322","0.0010333341779187322","0.0010333341779187322"
"1026","0.001121384440921247","0.001121384440921247","0.001121384440921247"
"1041","0.001213823794387281","0.001213823794387281","0.001213823794387281"
"1056","0.0012416132958605886","0.0012416132958605886","0.0012416132958605886"
