"Step","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave__MIN","reconstruction_with_individual_norms_galvani_deit - train_phiq_norms_ave__MAX"
"1071","0.0012020707363262773","0.0012020707363262773","0.0012020707363262773"
"1086","0.001205970416776836","0.001205970416776836","0.001205970416776836"
"1101","0.0012098165461793542","0.0012098165461793542","0.0012098165461793542"
"1116","0.0013278690166771412","0.0013278690166771412","0.0013278690166771412"
"1131","0.001310706720687449","0.001310706720687449","0.001310706720687449"
"1146","0.0012490247609093785","0.0012490247609093785","0.0012490247609093785"
"1161","0.0014032539911568165","0.0014032539911568165","0.0014032539911568165"
"1176","0.00140823342371732","0.00140823342371732","0.00140823342371732"
"1191","0.0014160448918119073","0.0014160448918119073","0.0014160448918119073"
"1206","0.0013655334478244185","0.0013655334478244185","0.0013655334478244185"
"1221","0.001681739930063486","0.001681739930063486","0.001681739930063486"
"1236","0.0014779180055484176","0.0014779180055484176","0.0014779180055484176"
"1251","0.0016043110517784953","0.0016043110517784953","0.0016043110517784953"
"1266","0.0015557928709313273","0.0015557928709313273","0.0015557928709313273"
"1281","0.0016209612367674708","0.0016209612367674708","0.0016209612367674708"
"1296","0.0017519742250442505","0.0017519742250442505","0.0017519742250442505"
"1311","0.0016840315656736493","0.0016840315656736493","0.0016840315656736493"
"1326","0.00196030642837286","0.00196030642837286","0.00196030642837286"
"1341","0.0017482303082942963","0.0017482303082942963","0.0017482303082942963"
"1356","0.0018100891029462218","0.0018100891029462218","0.0018100891029462218"
"1371","0.0018756600329652429","0.0018756600329652429","0.0018756600329652429"
"1386","0.001969864359125495","0.001969864359125495","0.001969864359125495"
"1401","0.001987727591767907","0.001987727591767907","0.001987727591767907"
"1416","0.002001347718760371","0.002001347718760371","0.002001347718760371"
"1431","0.0020518258679658175","0.0020518258679658175","0.0020518258679658175"
"1446","0.0020281458273530006","0.0020281458273530006","0.0020281458273530006"
"1461","0.002162063727155328","0.002162063727155328","0.002162063727155328"
"1476","0.0021873859222978354","0.0021873859222978354","0.0021873859222978354"
"1491","0.002237823326140642","0.002237823326140642","0.002237823326140642"
"1506","0.0023546128068119287","0.0023546128068119287","0.0023546128068119287"
"1521","0.0023353102151304483","0.0023353102151304483","0.0023353102151304483"
"1536","0.002588713774457574","0.002588713774457574","0.002588713774457574"
"1551","0.002479459159076214","0.002479459159076214","0.002479459159076214"
"1566","0.00278399046510458","0.00278399046510458","0.00278399046510458"
"1581","0.0027655484154820442","0.0027655484154820442","0.0027655484154820442"
"1596","0.0026191463693976402","0.0026191463693976402","0.0026191463693976402"
"1611","0.0028077091556042433","0.0028077091556042433","0.0028077091556042433"
"1626","0.0028618627693504095","0.0028618627693504095","0.0028618627693504095"
"1641","0.003212820738554001","0.003212820738554001","0.003212820738554001"
"1656","0.002816522493958473","0.002816522493958473","0.002816522493958473"
"1671","0.003205382265150547","0.003205382265150547","0.003205382265150547"
"1686","0.0029231933876872063","0.0029231933876872063","0.0029231933876872063"
"1701","0.0031707866583019495","0.0031707866583019495","0.0031707866583019495"
"1716","0.0032068369910120964","0.0032068369910120964","0.0032068369910120964"
"1731","0.0032376740127801895","0.0032376740127801895","0.0032376740127801895"
"1746","0.003530147485435009","0.003530147485435009","0.003530147485435009"
"1761","0.0036529882345348597","0.0036529882345348597","0.0036529882345348597"
"1776","0.0037151994183659554","0.0037151994183659554","0.0037151994183659554"
"1793","0.0037440236192196608","0.0037440236192196608","0.0037440236192196608"
"1810","0.004085842054337263","0.004085842054337263","0.004085842054337263"
"1827","0.004458167124539614","0.004458167124539614","0.004458167124539614"
"1844","0.0042761932127177715","0.0042761932127177715","0.0042761932127177715"
"1861","0.0041752471588552","0.0041752471588552","0.0041752471588552"
"1878","0.004577248822897673","0.004577248822897673","0.004577248822897673"
"1895","0.004204797558486462","0.004204797558486462","0.004204797558486462"
"1912","0.004689233843237162","0.004689233843237162","0.004689233843237162"
"1929","0.004827752243727446","0.004827752243727446","0.004827752243727446"
