"Step","reconstruction_with_individual_norms_galvani_deit - train_error","reconstruction_with_individual_norms_galvani_deit - train_error__MIN","reconstruction_with_individual_norms_galvani_deit - train_error__MAX"
"1067","2.0632975101470947","2.0632975101470947","2.0632975101470947"
"1082","2.082190752029419","2.082190752029419","2.082190752029419"
"1097","2.0955774784088135","2.0955774784088135","2.0955774784088135"
"1112","2.0832407474517822","2.0832407474517822","2.0832407474517822"
"1127","2.071085214614868","2.071085214614868","2.071085214614868"
"1142","2.0510594844818115","2.0510594844818115","2.0510594844818115"
"1157","2.075981855392456","2.075981855392456","2.075981855392456"
"1172","2.03330397605896","2.03330397605896","2.03330397605896"
"1187","2.034738540649414","2.034738540649414","2.034738540649414"
"1202","2.0196962356567383","2.0196962356567383","2.0196962356567383"
"1217","2.050642251968384","2.050642251968384","2.050642251968384"
"1232","2.0316240787506104","2.0316240787506104","2.0316240787506104"
"1247","2.0293843746185303","2.0293843746185303","2.0293843746185303"
"1262","2.0051381587982178","2.0051381587982178","2.0051381587982178"
"1277","2.0456740856170654","2.0456740856170654","2.0456740856170654"
"1292","2.020477056503296","2.020477056503296","2.020477056503296"
"1307","1.9956774711608887","1.9956774711608887","1.9956774711608887"
"1322","2.0364906787872314","2.0364906787872314","2.0364906787872314"
"1337","1.9820624589920044","1.9820624589920044","1.9820624589920044"
"1352","2.0009307861328125","2.0009307861328125","2.0009307861328125"
"1367","1.9980778694152832","1.9980778694152832","1.9980778694152832"
"1382","1.9870842695236206","1.9870842695236206","1.9870842695236206"
"1397","1.9634143114089966","1.9634143114089966","1.9634143114089966"
"1412","1.967278003692627","1.967278003692627","1.967278003692627"
"1427","1.9706988334655762","1.9706988334655762","1.9706988334655762"
"1442","1.9737523794174194","1.9737523794174194","1.9737523794174194"
"1457","1.9968098402023315","1.9968098402023315","1.9968098402023315"
"1472","1.9613314867019653","1.9613314867019653","1.9613314867019653"
"1487","1.9668489694595337","1.9668489694595337","1.9668489694595337"
"1502","1.9542526006698608","1.9542526006698608","1.9542526006698608"
"1517","1.939414381980896","1.939414381980896","1.939414381980896"
"1532","1.9714401960372925","1.9714401960372925","1.9714401960372925"
"1547","1.9560776948928833","1.9560776948928833","1.9560776948928833"
"1562","1.9293723106384277","1.9293723106384277","1.9293723106384277"
"1577","1.9506115913391113","1.9506115913391113","1.9506115913391113"
"1592","1.9282559156417847","1.9282559156417847","1.9282559156417847"
"1607","1.9445112943649292","1.9445112943649292","1.9445112943649292"
"1622","1.9040757417678833","1.9040757417678833","1.9040757417678833"
"1637","1.9557665586471558","1.9557665586471558","1.9557665586471558"
"1652","1.9183497428894043","1.9183497428894043","1.9183497428894043"
"1667","1.9298750162124634","1.9298750162124634","1.9298750162124634"
"1682","1.9150804281234741","1.9150804281234741","1.9150804281234741"
"1697","1.9077807664871216","1.9077807664871216","1.9077807664871216"
"1712","1.9049638509750366","1.9049638509750366","1.9049638509750366"
"1727","1.9079934358596802","1.9079934358596802","1.9079934358596802"
"1742","1.9028090238571167","1.9028090238571167","1.9028090238571167"
"1757","1.8999100923538208","1.8999100923538208","1.8999100923538208"
"1772","1.8800173997879028","1.8800173997879028","1.8800173997879028"
"1789","1.8942679166793823","1.8942679166793823","1.8942679166793823"
"1806","1.8545671701431274","1.8545671701431274","1.8545671701431274"
"1823","1.8895506858825684","1.8895506858825684","1.8895506858825684"
"1840","1.8980512619018555","1.8980512619018555","1.8980512619018555"
"1857","1.8735085725784302","1.8735085725784302","1.8735085725784302"
"1874","1.8556318283081055","1.8556318283081055","1.8556318283081055"
"1891","1.8494538068771362","1.8494538068771362","1.8494538068771362"
"1908","1.864681601524353","1.864681601524353","1.864681601524353"
"1925","1.8579031229019165","1.8579031229019165","1.8579031229019165"
