"Step","reconstruction_with_individual_norms_galvani_vit - train_error","reconstruction_with_individual_norms_galvani_vit - train_error__MIN","reconstruction_with_individual_norms_galvani_vit - train_error__MAX"
"2","67.6614761352539","67.6614761352539","67.6614761352539"
"17","12038.9384765625","12038.9384765625","12038.9384765625"
"32","8561.20703125","8561.20703125","8561.20703125"
"47","3316.554931640625","3316.554931640625","3316.554931640625"
"62","14.381157875061035","14.381157875061035","14.381157875061035"
"77","173.78929138183594","173.78929138183594","173.78929138183594"
"92","7.518057346343994","7.518057346343994","7.518057346343994"
"107","6.398730754852295","6.398730754852295","6.398730754852295"
"122","6.0400238037109375","6.0400238037109375","6.0400238037109375"
"137","5.716617584228516","5.716617584228516","5.716617584228516"
"152","5.6458563804626465","5.6458563804626465","5.6458563804626465"
"167","5.509405612945557","5.509405612945557","5.509405612945557"
"182","5.526280879974365","5.526280879974365","5.526280879974365"
"197","5.46290397644043","5.46290397644043","5.46290397644043"
"212","5.370438098907471","5.370438098907471","5.370438098907471"
"227","5.3435797691345215","5.3435797691345215","5.3435797691345215"
"242","5.262344837188721","5.262344837188721","5.262344837188721"
"257","5.205103397369385","5.205103397369385","5.205103397369385"
"272","5.122115612030029","5.122115612030029","5.122115612030029"
"287","5.0901007652282715","5.0901007652282715","5.0901007652282715"
"302","5.181247234344482","5.181247234344482","5.181247234344482"
"317","4.971351146697998","4.971351146697998","4.971351146697998"
"332","4.911358833312988","4.911358833312988","4.911358833312988"
"347","4.936080455780029","4.936080455780029","4.936080455780029"
"362","4.911381721496582","4.911381721496582","4.911381721496582"
"377","4.844824314117432","4.844824314117432","4.844824314117432"
"392","4.760899066925049","4.760899066925049","4.760899066925049"
"407","4.889962196350098","4.889962196350098","4.889962196350098"
"422","4.727291584014893","4.727291584014893","4.727291584014893"
"437","4.682031154632568","4.682031154632568","4.682031154632568"
"452","4.661453723907471","4.661453723907471","4.661453723907471"
"467","4.627587795257568","4.627587795257568","4.627587795257568"
"482","4.591004848480225","4.591004848480225","4.591004848480225"
"497","4.539391040802002","4.539391040802002","4.539391040802002"
"512","4.511160850524902","4.511160850524902","4.511160850524902"
"527","4.426546573638916","4.426546573638916","4.426546573638916"
"542","4.405050754547119","4.405050754547119","4.405050754547119"
"557","4.381821155548096","4.381821155548096","4.381821155548096"
"572","4.363698959350586","4.363698959350586","4.363698959350586"
"587","4.242486000061035","4.242486000061035","4.242486000061035"
"602","4.285780429840088","4.285780429840088","4.285780429840088"
"617","4.252108097076416","4.252108097076416","4.252108097076416"
"632","4.204222679138184","4.204222679138184","4.204222679138184"
"647","4.206173419952393","4.206173419952393","4.206173419952393"
"662","4.192773342132568","4.192773342132568","4.192773342132568"
"677","4.160690784454346","4.160690784454346","4.160690784454346"
"692","4.1737494468688965","4.1737494468688965","4.1737494468688965"
"707","4.138984203338623","4.138984203338623","4.138984203338623"
"722","4.0883469581604","4.0883469581604","4.0883469581604"
"737","4.144406318664551","4.144406318664551","4.144406318664551"
"752","4.060604572296143","4.060604572296143","4.060604572296143"
"767","4.084392070770264","4.084392070770264","4.084392070770264"
"782","4.051727771759033","4.051727771759033","4.051727771759033"
"797","4.1212615966796875","4.1212615966796875","4.1212615966796875"
"812","3.9984099864959717","3.9984099864959717","3.9984099864959717"
"827","3.9830892086029053","3.9830892086029053","3.9830892086029053"
"842","4.049087047576904","4.049087047576904","4.049087047576904"
"857","3.963599920272827","3.963599920272827","3.963599920272827"
"872","3.951756715774536","3.951756715774536","3.951756715774536"
"887","3.907350778579712","3.907350778579712","3.907350778579712"
"902","3.934370756149292","3.934370756149292","3.934370756149292"
"917","3.9124205112457275","3.9124205112457275","3.9124205112457275"
"932","3.853342056274414","3.853342056274414","3.853342056274414"
"947","3.863823652267456","3.863823652267456","3.863823652267456"
