"Step","reconstruction_with_individual_norms_galvani_vit - train_error","reconstruction_with_individual_norms_galvani_vit - train_error__MIN","reconstruction_with_individual_norms_galvani_vit - train_error__MAX"
"962","3.9176113605499268","3.9176113605499268","3.9176113605499268"
"977","3.8417179584503174","3.8417179584503174","3.8417179584503174"
"992","3.8465750217437744","3.8465750217437744","3.8465750217437744"
"1007","3.887511968612671","3.887511968612671","3.887511968612671"
"1022","3.842740297317505","3.842740297317505","3.842740297317505"
"1037","3.8282277584075928","3.8282277584075928","3.8282277584075928"
"1052","3.7982823848724365","3.7982823848724365","3.7982823848724365"
"1067","3.7803661823272705","3.7803661823272705","3.7803661823272705"
"1082","3.7382822036743164","3.7382822036743164","3.7382822036743164"
"1097","3.7702245712280273","3.7702245712280273","3.7702245712280273"
"1112","3.7333948612213135","3.7333948612213135","3.7333948612213135"
"1127","3.7858035564422607","3.7858035564422607","3.7858035564422607"
"1142","3.7122802734375","3.7122802734375","3.7122802734375"
"1157","3.787501573562622","3.787501573562622","3.787501573562622"
"1172","3.7270381450653076","3.7270381450653076","3.7270381450653076"
"1187","3.684603691101074","3.684603691101074","3.684603691101074"
"1202","3.696382761001587","3.696382761001587","3.696382761001587"
"1217","3.697476625442505","3.697476625442505","3.697476625442505"
"1232","3.688227415084839","3.688227415084839","3.688227415084839"
"1247","3.7224485874176025","3.7224485874176025","3.7224485874176025"
"1262","3.6345436573028564","3.6345436573028564","3.6345436573028564"
"1277","3.6793534755706787","3.6793534755706787","3.6793534755706787"
"1292","3.625966787338257","3.625966787338257","3.625966787338257"
"1307","3.6446588039398193","3.6446588039398193","3.6446588039398193"
"1322","3.5951602458953857","3.5951602458953857","3.5951602458953857"
"1337","3.620265245437622","3.620265245437622","3.620265245437622"
"1352","3.6022822856903076","3.6022822856903076","3.6022822856903076"
"1367","3.6198387145996094","3.6198387145996094","3.6198387145996094"
"1382","3.606755018234253","3.606755018234253","3.606755018234253"
"1397","3.5854947566986084","3.5854947566986084","3.5854947566986084"
"1412","3.5566272735595703","3.5566272735595703","3.5566272735595703"
"1427","3.57196044921875","3.57196044921875","3.57196044921875"
"1442","3.543471336364746","3.543471336364746","3.543471336364746"
"1457","3.5773239135742188","3.5773239135742188","3.5773239135742188"
"1472","3.5597245693206787","3.5597245693206787","3.5597245693206787"
"1487","3.526916265487671","3.526916265487671","3.526916265487671"
"1502","3.5151588916778564","3.5151588916778564","3.5151588916778564"
"1517","3.554595708847046","3.554595708847046","3.554595708847046"
"1532","3.551193952560425","3.551193952560425","3.551193952560425"
"1547","3.528737783432007","3.528737783432007","3.528737783432007"
"1562","3.4741744995117188","3.4741744995117188","3.4741744995117188"
"1577","3.475428819656372","3.475428819656372","3.475428819656372"
"1592","3.4972000122070312","3.4972000122070312","3.4972000122070312"
"1607","3.441838026046753","3.441838026046753","3.441838026046753"
"1622","3.4925501346588135","3.4925501346588135","3.4925501346588135"
"1637","3.486738920211792","3.486738920211792","3.486738920211792"
"1652","3.467423677444458","3.467423677444458","3.467423677444458"
"1667","3.469820976257324","3.469820976257324","3.469820976257324"
"1682","3.4638421535491943","3.4638421535491943","3.4638421535491943"
"1697","3.462569236755371","3.462569236755371","3.462569236755371"
"1712","3.4228975772857666","3.4228975772857666","3.4228975772857666"
"1727","3.4062530994415283","3.4062530994415283","3.4062530994415283"
"1742","3.3871335983276367","3.3871335983276367","3.3871335983276367"
"1757","3.413344144821167","3.413344144821167","3.413344144821167"
"1772","3.4017183780670166","3.4017183780670166","3.4017183780670166"
"1787","3.4409217834472656","3.4409217834472656","3.4409217834472656"
"1802","3.3922367095947266","3.3922367095947266","3.3922367095947266"
"1817","3.372011423110962","3.372011423110962","3.372011423110962"
"1832","3.3411741256713867","3.3411741256713867","3.3411741256713867"
"1849","3.4035212993621826","3.4035212993621826","3.4035212993621826"
"1866","3.3729686737060547","3.3729686737060547","3.3729686737060547"
"1883","3.334009885787964","3.334009885787964","3.334009885787964"
"1900","3.3249378204345703","3.3249378204345703","3.3249378204345703"
"1917","3.365913152694702","3.365913152694702","3.365913152694702"
"1934","3.3398120403289795","3.3398120403289795","3.3398120403289795"
"1951","3.2862722873687744","3.2862722873687744","3.2862722873687744"
"1968","3.2834160327911377","3.2834160327911377","3.2834160327911377"
"1985","3.3076553344726562","3.3076553344726562","3.3076553344726562"
"2002","3.297492742538452","3.297492742538452","3.297492742538452"
"2019","3.260709762573242","3.260709762573242","3.260709762573242"
"2036","3.27836537361145","3.27836537361145","3.27836537361145"
