"Step","reconstruction_with_individual_norms_galvani_vit - train_phiq_norms_ave","reconstruction_with_individual_norms_galvani_vit - train_phiq_norms_ave__MIN","reconstruction_with_individual_norms_galvani_vit - train_phiq_norms_ave__MAX"
"6","56.643798828125","56.643798828125","56.643798828125"
"21","12029.8857421875","12029.8857421875","12029.8857421875"
"36","8553.1396484375","8553.1396484375","8553.1396484375"
"51","3309.09375","3309.09375","3309.09375"
"66","7.344062805175781","7.344062805175781","7.344062805175781"
"81","167.08303833007812","167.08303833007812","167.08303833007812"
"96","1.1770548820495605","1.1770548820495605","1.1770548820495605"
"111","0.28026455640792847","0.28026455640792847","0.28026455640792847"
"126","0.09251698851585388","0.09251698851585388","0.09251698851585388"
"141","0.047426674515008926","0.047426674515008926","0.047426674515008926"
"156","0.023200882598757744","0.023200882598757744","0.023200882598757744"
"171","0.010720613412559032","0.010720613412559032","0.010720613412559032"
"186","0.00976643804460764","0.00976643804460764","0.00976643804460764"
"201","0.007986973971128464","0.007986973971128464","0.007986973971128464"
"216","0.005863875616341829","0.005863875616341829","0.005863875616341829"
"231","0.004733767360448837","0.004733767360448837","0.004733767360448837"
"246","0.004916222300380468","0.004916222300380468","0.004916222300380468"
"261","0.0034563466906547546","0.0034563466906547546","0.0034563466906547546"
"276","0.0032189262565225363","0.0032189262565225363","0.0032189262565225363"
"291","0.0035198619589209557","0.0035198619589209557","0.0035198619589209557"
"306","0.0029497656505554914","0.0029497656505554914","0.0029497656505554914"
"321","0.0025935384910553694","0.0025935384910553694","0.0025935384910553694"
"336","0.0021008600015193224","0.0021008600015193224","0.0021008600015193224"
"351","0.0024810873437672853","0.0024810873437672853","0.0024810873437672853"
"366","0.003003469668328762","0.003003469668328762","0.003003469668328762"
"381","0.0020520638208836317","0.0020520638208836317","0.0020520638208836317"
"396","0.0022602470126003027","0.0022602470126003027","0.0022602470126003027"
"411","0.002258073538541794","0.002258073538541794","0.002258073538541794"
"426","0.0018824795261025429","0.0018824795261025429","0.0018824795261025429"
"441","0.0019147730199620128","0.0019147730199620128","0.0019147730199620128"
"456","0.0018105799099430442","0.0018105799099430442","0.0018105799099430442"
"471","0.0018907716730609536","0.0018907716730609536","0.0018907716730609536"
"486","0.0016877297312021255","0.0016877297312021255","0.0016877297312021255"
"501","0.002032795688137412","0.002032795688137412","0.002032795688137412"
"516","0.0016980754444375634","0.0016980754444375634","0.0016980754444375634"
"531","0.001697004190646112","0.001697004190646112","0.001697004190646112"
"546","0.0019172463798895478","0.0019172463798895478","0.0019172463798895478"
"561","0.0018480714643374085","0.0018480714643374085","0.0018480714643374085"
"576","0.0017382670193910599","0.0017382670193910599","0.0017382670193910599"
"591","0.0017869173316285014","0.0017869173316285014","0.0017869173316285014"
"606","0.0018106158822774887","0.0018106158822774887","0.0018106158822774887"
"621","0.0018071267986670136","0.0018071267986670136","0.0018071267986670136"
"636","0.0019596042111516","0.0019596042111516","0.0019596042111516"
"651","0.0020643246825784445","0.0020643246825784445","0.0020643246825784445"
"666","0.0018588484963402152","0.0018588484963402152","0.0018588484963402152"
"681","0.0021204990334808826","0.0021204990334808826","0.0021204990334808826"
"696","0.0019529053242877126","0.0019529053242877126","0.0019529053242877126"
"711","0.0021715941838920116","0.0021715941838920116","0.0021715941838920116"
"726","0.0021407920867204666","0.0021407920867204666","0.0021407920867204666"
"741","0.00225543393753469","0.00225543393753469","0.00225543393753469"
"756","0.001979879569262266","0.001979879569262266","0.001979879569262266"
"771","0.002133602974936366","0.002133602974936366","0.002133602974936366"
"786","0.002015631878748536","0.002015631878748536","0.002015631878748536"
"801","0.0023005870170891285","0.0023005870170891285","0.0023005870170891285"
"816","0.0022742506116628647","0.0022742506116628647","0.0022742506116628647"
"831","0.0021585049107670784","0.0021585049107670784","0.0021585049107670784"
"846","0.002139582997187972","0.002139582997187972","0.002139582997187972"
"861","0.002162684453651309","0.002162684453651309","0.002162684453651309"
"876","0.002122867153957486","0.002122867153957486","0.002122867153957486"
"891","0.002135475166141987","0.002135475166141987","0.002135475166141987"
"906","0.002318005543202162","0.002318005543202162","0.002318005543202162"
"921","0.002290195319801569","0.002290195319801569","0.002290195319801569"
"936","0.0023048066068440676","0.0023048066068440676","0.0023048066068440676"
"951","0.0024375314824283123","0.0024375314824283123","0.0024375314824283123"
"966","0.0026113679632544518","0.0026113679632544518","0.0026113679632544518"
"981","0.0026609471533447504","0.0026609471533447504","0.0026609471533447504"
"996","0.0024142106994986534","0.0024142106994986534","0.0024142106994986534"
"1011","0.0027225257363170385","0.0027225257363170385","0.0027225257363170385"
"1026","0.002703254111111164","0.002703254111111164","0.002703254111111164"
"1041","0.002887065289542079","0.002887065289542079","0.002887065289542079"
"1056","0.002965562976896763","0.002965562976896763","0.002965562976896763"
"1071","0.003234331263229251","0.003234331263229251","0.003234331263229251"
"1086","0.0034180202055722475","0.0034180202055722475","0.0034180202055722475"
"1101","0.002991988556459546","0.002991988556459546","0.002991988556459546"
"1116","0.0030251648277044296","0.0030251648277044296","0.0030251648277044296"
"1131","0.0031488079112023115","0.0031488079112023115","0.0031488079112023115"
"1146","0.0031338005792349577","0.0031338005792349577","0.0031338005792349577"
"1161","0.0032745141070336103","0.0032745141070336103","0.0032745141070336103"
"1176","0.0033494250383228064","0.0033494250383228064","0.0033494250383228064"
"1191","0.0033397041261196136","0.0033397041261196136","0.0033397041261196136"
"1206","0.0033586316276341677","0.0033586316276341677","0.0033586316276341677"
"1221","0.003469073213636875","0.003469073213636875","0.003469073213636875"
"1236","0.003382737748324871","0.003382737748324871","0.003382737748324871"
"1251","0.003426025388762355","0.003426025388762355","0.003426025388762355"
"1266","0.0033483218867331743","0.0033483218867331743","0.0033483218867331743"
"1281","0.0035645635798573494","0.0035645635798573494","0.0035645635798573494"
"1296","0.0037809491623193026","0.0037809491623193026","0.0037809491623193026"
"1311","0.003573058871552348","0.003573058871552348","0.003573058871552348"
"1326","0.003718076040968299","0.003718076040968299","0.003718076040968299"
"1341","0.0036689452826976776","0.0036689452826976776","0.0036689452826976776"
"1356","0.0036335475742816925","0.0036335475742816925","0.0036335475742816925"
"1371","0.0043959543108940125","0.0043959543108940125","0.0043959543108940125"
"1386","0.004424064885824919","0.004424064885824919","0.004424064885824919"
"1401","0.004101141355931759","0.004101141355931759","0.004101141355931759"
"1416","0.003919509705156088","0.003919509705156088","0.003919509705156088"
"1431","0.004414328373968601","0.004414328373968601","0.004414328373968601"
"1446","0.004188758321106434","0.004188758321106434","0.004188758321106434"
"1461","0.00449773296713829","0.00449773296713829","0.00449773296713829"
"1476","0.004652745556086302","0.004652745556086302","0.004652745556086302"
"1491","0.004559674765914679","0.004559674765914679","0.004559674765914679"
"1506","0.004743621218949556","0.004743621218949556","0.004743621218949556"
"1521","0.004543259274214506","0.004543259274214506","0.004543259274214506"
"1536","0.00478337099775672","0.00478337099775672","0.00478337099775672"
"1551","0.004935063887387514","0.004935063887387514","0.004935063887387514"
"1566","0.005866879131644964","0.005866879131644964","0.005866879131644964"
"1581","0.00465783104300499","0.00465783104300499","0.00465783104300499"
"1596","0.004766905680298805","0.004766905680298805","0.004766905680298805"
"1611","0.005320210475474596","0.005320210475474596","0.005320210475474596"
"1626","0.005089262034744024","0.005089262034744024","0.005089262034744024"
"1641","0.005414521787315607","0.005414521787315607","0.005414521787315607"
"1656","0.005798190366476774","0.005798190366476774","0.005798190366476774"
"1671","0.005601199343800545","0.005601199343800545","0.005601199343800545"
"1686","0.005501175299286842","0.005501175299286842","0.005501175299286842"
"1701","0.0057333894073963165","0.0057333894073963165","0.0057333894073963165"
"1716","0.005802425090223551","0.005802425090223551","0.005802425090223551"
"1731","0.006220323499292135","0.006220323499292135","0.006220323499292135"
"1746","0.006246799603104591","0.006246799603104591","0.006246799603104591"
"1761","0.0062593016773462296","0.0062593016773462296","0.0062593016773462296"
"1776","0.006331422831863165","0.006331422831863165","0.006331422831863165"
"1791","0.006057844962924719","0.006057844962924719","0.006057844962924719"
"1806","0.005698094144463539","0.005698094144463539","0.005698094144463539"
"1821","0.0062958854250609875","0.0062958854250609875","0.0062958854250609875"
"1836","0.006106927990913391","0.006106927990913391","0.006106927990913391"
"1853","0.0060694110579788685","0.0060694110579788685","0.0060694110579788685"
"1870","0.006196940783411264","0.006196940783411264","0.006196940783411264"
"1887","0.006490479689091444","0.006490479689091444","0.006490479689091444"
"1904","0.006560077890753746","0.006560077890753746","0.006560077890753746"
"1921","0.006443577352911234","0.006443577352911234","0.006443577352911234"
"1938","0.006696432828903198","0.006696432828903198","0.006696432828903198"
"1955","0.006810447201132774","0.006810447201132774","0.006810447201132774"
"1972","0.006561181973665953","0.006561181973665953","0.006561181973665953"
"1989","0.006983289495110512","0.006983289495110512","0.006983289495110512"
"2006","0.006584895774722099","0.006584895774722099","0.006584895774722099"
"2023","0.006518388632684946","0.006518388632684946","0.006518388632684946"
"2040","0.006374225486069918","0.006374225486069918","0.006374225486069918"
