"Step","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h__MIN","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h__MAX"
"3","4.30742883682251","4.30742883682251","4.30742883682251"
"18","695.8851928710938","695.8851928710938","695.8851928710938"
"33","741.4817504882812","741.4817504882812","741.4817504882812"
"48","255.1416473388672","255.1416473388672","255.1416473388672"
"63","1.6759284734725952","1.6759284734725952","1.6759284734725952"
"78","12.097077369689941","12.097077369689941","12.097077369689941"
"93","1.1288857460021973","1.1288857460021973","1.1288857460021973"
"108","1.0270763635635376","1.0270763635635376","1.0270763635635376"
"123","1.004693865776062","1.004693865776062","1.004693865776062"
"138","1.0019546747207642","1.0019546747207642","1.0019546747207642"
"153","0.9993751049041748","0.9993751049041748","0.9993751049041748"
"168","0.9988169074058533","0.9988169074058533","0.9988169074058533"
"183","0.9989802837371826","0.9989802837371826","0.9989802837371826"
"198","0.998633086681366","0.998633086681366","0.998633086681366"
"213","0.9988604187965393","0.9988604187965393","0.9988604187965393"
"228","0.9992675185203552","0.9992675185203552","0.9992675185203552"
"243","0.9990489482879639","0.9990489482879639","0.9990489482879639"
"258","0.9992404580116272","0.9992404580116272","0.9992404580116272"
"273","0.9993088841438293","0.9993088841438293","0.9993088841438293"
"288","0.9992804527282715","0.9992804527282715","0.9992804527282715"
"303","0.9993169903755188","0.9993169903755188","0.9993169903755188"
"318","0.9993801712989807","0.9993801712989807","0.9993801712989807"
"333","0.9994729161262512","0.9994729161262512","0.9994729161262512"
"348","0.9994152188301086","0.9994152188301086","0.9994152188301086"
"363","0.9993230700492859","0.9993230700492859","0.9993230700492859"
"378","0.9994853138923645","0.9994853138923645","0.9994853138923645"
"393","0.9994375109672546","0.9994375109672546","0.9994375109672546"
"408","0.9994325637817383","0.9994325637817383","0.9994325637817383"
"423","0.9995116591453552","0.9995116591453552","0.9995116591453552"
"438","0.9995027184486389","0.9995027184486389","0.9995027184486389"
"453","0.9995222091674805","0.9995222091674805","0.9995222091674805"
"468","0.9995059370994568","0.9995059370994568","0.9995059370994568"
"483","0.9995402693748474","0.9995402693748474","0.9995402693748474"
"498","0.9994661211967468","0.9994661211967468","0.9994661211967468"
"513","0.9995401501655579","0.9995401501655579","0.9995401501655579"
"528","0.9995326995849609","0.9995326995849609","0.9995326995849609"
"543","0.99949049949646","0.99949049949646","0.99949049949646"
"558","0.9994997978210449","0.9994997978210449","0.9994997978210449"
"573","0.9995176196098328","0.9995176196098328","0.9995176196098328"
"588","0.9994900822639465","0.9994900822639465","0.9994900822639465"
