"Step","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq__MIN","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq__MAX"
"1834","749398.75","749398.75","749398.75"
"1851","1002257.1875","1002257.1875","1002257.1875"
"1868","1207252.75","1207252.75","1207252.75"
"1885","1063417.125","1063417.125","1063417.125"
"1902","1012678.0625","1012678.0625","1012678.0625"
"1919","1229878.625","1229878.625","1229878.625"
"1936","945889.8125","945889.8125","945889.8125"
"1953","882536.1875","882536.1875","882536.1875"
"1970","997062.6875","997062.6875","997062.6875"
"1987","881611.0625","881611.0625","881611.0625"
"2004","1214502.625","1214502.625","1214502.625"
"2021","714778.6875","714778.6875","714778.6875"
"2038","988667.8125","988667.8125","988667.8125"
"2055","992642.0625","992642.0625","992642.0625"
